Source,Target,LinkType,LinkText
"docs/00-Strategy/Competition/20251113_GAP_ANALYSIS_REPORT.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md (Outdated)"
"docs/00-Strategy/Competition/20251113_GAP_ANALYSIS_REPORT.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md (Outdated)"
"docs/00-Strategy/Competition/20251113_GAP_ANALYSIS_REPORT.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md (Outdated)"
"docs/00-Strategy/Competition/20251113_GAP_ANALYSIS_REPORT.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md (Outdated)"
"docs/00-Strategy/Competition/20251113_GAP_ANALYSIS_REPORT.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md (Outdated)"
"docs/00-Strategy/Competition/20251113_GAP_ANALYSIS_REPORT.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md (Outdated)"
"docs/02-Engineering/Setup/Data-Scientist-Gap-Analysis.md","PROJECT_STATUS.md","explicit_link","docs/PROJECT_STATUS.md"
"docs/02-Engineering/Setup/Data-Scientist-Gap-Analysis.md","tools/README.md","explicit_link","README.md"
"docs/02-Engineering/Setup/Data-Scientist-Gap-Analysis.md","tools/README.md","explicit_link","README.md"
"docs/02-Engineering/Setup/Data-Scientist-Gap-Analysis.md","tools/README.md","explicit_link","README.md"
"docs/02-Engineering/Setup/Data-Scientist-Gap-Analysis.md","tools/README.md","explicit_link","README.md"
"docs/02-Engineering/Setup/Onboarding_Guide.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md"
"docs/02-Engineering/Setup/Onboarding_Guide.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md"
"docs/03-Research/Theory/20251115-Contextual_Debt_Paper-Gap_Analysis.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md (Outdated)"
"docs/03-Research/Theory/20251115-Contextual_Debt_Paper-Gap_Analysis.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md (Outdated)"
"docs/03-Research/Theory/20251115-Contextual_Debt_Paper-Gap_Analysis.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md (Outdated)"
"docs/03-Research/Theory/20251115-Contextual_Debt_Paper-Gap_Analysis.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md (Outdated)"
"docs/04-Operations/Intent-Log/Technical/20251113_RECOVERY_PLAN.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md (Outdated)"
"docs/04-Operations/Intent-Log/Technical/20251113_RECOVERY_PLAN.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md (Outdated)"
"docs/04-Operations/Intent-Log/Technical/20251113_RECOVERY_PLAN.md","PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md (Outdated)"
"docs/04-Operations/Intent-Log/Technical/20251124-Contextual-Discovery-Plan.md","docs/04-Operations/Intent-Log/Technical/path/to/file.md","explicit_link","text"
"docs/04-Operations/Intent-Log/Technical/20251126-josh-action-items.md","docs/04-Operations/Intent-Log/Technical/path/to/file.md","explicit_link","text"
"docs/04-Operations/Intent-Log/Technical/20251127-Contextual-Discovery-Plan-Revision.md","notebooks","explicit_link","Notebooks"
"docs/04-Operations/Intent-Log/Technical/20251127-Contextual-Discovery-Plan-Revision.md","docs/04-Operations/Intent-Log/Technical","explicit_link","Create Report"
"docs/04-Operations/Intent-Log/Technical/20251127-Contextual-Discovery-Plan-Revision.md","packages/contracts","explicit_link","Contracts Package"
"docs/04-Operations/Intent-Log/Technical/20251127-Contextual-Discovery-Plan-Revision.md","packages/core","explicit_link","POC Script"
"docs/04-Operations/Intent-Log/Technical/20251127-Contextual-Discovery-Plan-Revision.md","packages/workers","explicit_link","Workers Package"
"docs/04-Operations/Intent-Log/Technical/20251127-Contextual-Discovery-Plan-Revision.md","docs/01-Architecture","explicit_link","Architecture"
"docs/04-Operations/Intent-Log/Technical/20251127-Contextual-Discovery-Plan-Revision.md","docs/04-Operations/Intent-Log/Technical","explicit_link","Create Guide"
"docs/04-Operations/Intent-Log/Technical/20251127-Contextual-Discovery-Plan-Revision.md","packages/contracts","explicit_link","Contracts Package"
